"idobservation","nomedevice","tempo1","tempo2","tempo3","timestamp_column","valorteste"
3812850,"Images",0.259915,0.000882,0.040855,"2024-09-26 14:30:12",NULL
3817264,"Images",0.338354,0.000163,0.031904,"2024-09-26 15:52:28",NULL
3814687,"Images",0.302156,0.016971,0.021804,"2024-09-26 15:04:25",NULL
3835655,"Images",0.239505,0.000549,0.039038,"2024-09-26 21:33:21",NULL
3807926,"Images",0.277077,0.000876,0.040813,"2024-09-26 12:58:25",NULL
3813846,"Images",0.279248,0.000888,0.040990,"2024-09-26 14:48:39",NULL
3838922,"Images",0.396986,0.000886,0.040827,"2024-09-26 22:33:48",NULL
3834526,"Images",0.260873,0.000185,0.026433,"2024-09-26 21:12:17",NULL
3836570,"Images",0.278136,0.000885,0.041124,"2024-09-26 21:50:18",NULL
3815427,"Images",0.298647,0.000884,0.042420,"2024-09-26 15:18:17",NULL
3838404,"Images",0.278095,0.000922,0.051085,"2024-09-26 22:24:15",NULL
3827009,"Images",0.276939,0.000644,0.024309,"2024-09-26 18:52:51",NULL
3818325,"Images",0.279082,0.000164,0.026775,"2024-09-26 16:12:12",NULL
3811381,"Images",0.242047,0.016640,0.022609,"2024-09-26 14:02:45",NULL
3838524,"Images",0.258161,0.000887,0.045119,"2024-09-26 22:26:28",NULL
3829418,"Images",0.245770,0.000880,0.033174,"2024-09-26 19:37:23",NULL
3819104,"Images",0.278465,0.000563,0.028393,"2024-09-26 16:26:39",NULL
3833063,"Images",0.278971,0.000893,0.043886,"2024-09-26 20:45:07",NULL
3813601,"Images",0.262877,0.000166,0.028552,"2024-09-26 14:44:06",NULL
3809888,"Images",0.278057,0.000907,0.044587,"2024-09-26 13:34:54",NULL
3816715,"Images",0.297351,0.001103,0.041592,"2024-09-26 15:42:16",NULL
3817217,"Images",0.299787,0.000898,0.039999,"2024-09-26 15:51:36",NULL
3830089,"Images",0.259430,0.000166,0.026884,"2024-09-26 19:49:47",NULL
3812498,"Images",0.417268,0.041676,0.080175,"2024-09-26 14:23:39",NULL
3812700,"Images",0.297976,0.000988,0.042833,"2024-09-26 14:27:25",NULL
3817911,"Images",0.277630,0.000892,0.038113,"2024-09-26 16:04:30",NULL
3816488,"Images",0.278077,0.000885,0.043360,"2024-09-26 15:38:05",NULL
3831900,"Images",0.299223,0.000558,0.037855,"2024-09-26 20:23:29",NULL
3820601,"Images",0.262550,0.000876,0.033434,"2024-09-26 16:54:15",NULL
3834173,"Images",0.277625,0.000883,0.045772,"2024-09-26 21:05:43",NULL
3834718,"Images",0.242368,0.000178,0.030231,"2024-09-26 21:15:52",NULL
3833004,"Images",0.339382,0.000912,0.039043,"2024-09-26 20:44:00",NULL
3823128,"Images",0.382415,0.000883,0.034258,"2024-09-26 17:40:58",NULL
3809008,"Images",0.279408,0.000163,0.023612,"2024-09-26 13:18:36",NULL
3833411,"Images",0.220717,0.000879,0.040925,"2024-09-26 20:51:35",NULL
3824025,"Images",0.221703,0.000163,0.023326,"2024-09-26 17:57:38",NULL
3829757,"Images",0.301985,0.000896,0.035671,"2024-09-26 19:43:39",NULL
3806879,"Images",0.337236,0.000898,0.040439,"2024-09-26 12:39:14",NULL
3820509,"Images",0.485338,0.000883,0.032162,"2024-09-26 16:52:33",NULL
3824231,"Images",0.241203,0.000164,0.025181,"2024-09-26 18:01:27",NULL
3828234,"Images",0.336758,0.001068,0.044621,"2024-09-26 19:15:29",NULL
3838755,"Images",0.224786,0.000891,0.072670,"2024-09-26 22:30:43",NULL
3809852,"Images",0.344803,0.000886,0.034964,"2024-09-26 13:34:15",NULL
3811023,"Images",0.279038,0.000890,0.069313,"2024-09-26 13:56:02",NULL
3818591,"Images",0.337561,0.000878,0.039624,"2024-09-26 16:17:09",NULL
3822086,"Images",0.239721,0.000896,0.039609,"2024-09-26 17:21:40",NULL
3820549,"Images",0.280636,0.000165,0.021583,"2024-09-26 16:53:18",NULL
3813543,"Images",0.337088,0.000892,0.038396,"2024-09-26 14:43:01",NULL
3830523,"Images",0.285767,0.012962,0.026697,"2024-09-26 19:57:51",NULL
3833768,"Images",0.277627,0.000880,0.039798,"2024-09-26 20:58:11",NULL
3810178,"Images",0.278097,0.000903,0.043840,"2024-09-26 13:40:16",NULL
3838140,"Images",0.282793,0.000889,0.037041,"2024-09-26 22:19:20",NULL
3836324,"Images",0.258733,0.000903,0.039606,"2024-09-26 21:45:44",NULL
3815585,"Images",0.278991,0.000876,0.042025,"2024-09-26 15:21:14",NULL
3836569,"Images",0.278098,0.000880,0.037882,"2024-09-26 21:50:16",NULL
3827231,"Images",0.317212,0.000894,0.040851,"2024-09-26 18:56:57",NULL
3819111,"Images",0.262663,0.000881,0.035141,"2024-09-26 16:26:47",NULL
3813279,"Images",0.277931,0.000893,0.038756,"2024-09-26 14:38:09",NULL
3810737,"Images",0.316951,0.000901,0.022924,"2024-09-26 13:50:42",NULL
3821553,"Images",0.425662,0.000908,0.113461,"2024-09-26 17:11:50",NULL
3823612,"Images",0.296687,0.000895,0.037438,"2024-09-26 17:49:58",NULL
3832349,"Images",0.305639,0.000902,0.039703,"2024-09-26 20:31:46",NULL
3829481,"Images",0.262172,0.000611,0.035536,"2024-09-26 19:38:32",NULL
3813839,"Images",0.317465,0.000880,0.038702,"2024-09-26 14:48:31",NULL
3833015,"Images",0.283274,0.000883,0.038818,"2024-09-26 20:44:13",NULL
3831282,"Images",0.298238,0.000884,0.044199,"2024-09-26 20:12:01",NULL
3838375,"Images",0.246362,0.012986,0.040821,"2024-09-26 22:23:42",NULL
3827638,"Images",0.346158,0.000586,0.032694,"2024-09-26 19:04:29",NULL
3822045,"Images",0.263892,0.000885,0.036408,"2024-09-26 17:20:55",NULL
3829244,"Images",0.296835,0.000896,0.041988,"2024-09-26 19:34:09",NULL
3818103,"Images",0.282813,0.000880,0.032813,"2024-09-26 16:08:04",NULL
3818615,"Images",0.238937,0.000164,0.022065,"2024-09-26 16:17:35",NULL
3830531,"Images",0.276908,0.000891,0.052002,"2024-09-26 19:57:59",NULL
3815536,"Images",0.277744,0.000166,0.021699,"2024-09-26 15:20:20",NULL
3810132,"Images",0.300364,0.000172,0.027955,"2024-09-26 13:39:25",NULL
3811535,"Images",0.263032,0.000949,0.039572,"2024-09-26 14:05:37",NULL
3810108,"Images",0.297266,0.000895,0.043808,"2024-09-26 13:38:59",NULL
3810585,"Images",0.317593,0.000877,0.042261,"2024-09-26 13:47:52",NULL
3814251,"Images",0.261947,0.000554,0.048962,"2024-09-26 14:56:14",NULL
3817600,"Images",0.278514,0.000896,0.043070,"2024-09-26 15:58:43",NULL
3816511,"Images",0.317382,0.000896,0.041424,"2024-09-26 15:38:31",NULL
3836926,"Images",0.264986,0.000878,0.036858,"2024-09-26 21:56:54",NULL
3817518,"Images",0.279797,0.000884,0.056209,"2024-09-26 15:57:12",NULL
3831992,"Images",0.240911,0.000168,0.033306,"2024-09-26 20:25:11",NULL
3821284,"Images",0.277689,0.000900,0.048312,"2024-09-26 17:06:50",NULL
3810607,"Images",0.298022,0.000886,0.042198,"2024-09-26 13:48:16",NULL
3822889,"Images",0.317402,0.000885,0.044969,"2024-09-26 17:36:31",NULL
3807825,"Images",0.223633,0.000170,0.026521,"2024-09-26 12:56:32",NULL
3815818,"Images",0.259826,0.000899,0.040963,"2024-09-26 15:25:35",NULL
3827290,"Images",0.260228,0.000888,0.047932,"2024-09-26 18:58:03",NULL
3815869,"Images",0.258993,0.000563,0.039166,"2024-09-26 15:26:36",NULL
3837306,"Images",0.398087,0.041696,0.059660,"2024-09-26 22:03:55",NULL
3817965,"Images",0.260509,0.000555,0.034452,"2024-09-26 16:05:31",NULL
3807065,"Images",0.278819,0.000898,0.041235,"2024-09-26 12:42:42",NULL
3814136,"Images",0.298646,0.000882,0.041307,"2024-09-26 14:54:04",NULL
3810238,"Images",0.243766,0.000743,0.033202,"2024-09-26 13:41:25",NULL
3838091,"Images",0.342585,0.000889,0.034414,"2024-09-26 22:18:26",NULL
3823264,"Images",0.277597,0.000907,0.044343,"2024-09-26 17:43:30",NULL
3836568,"Images",0.297395,0.000882,0.039281,"2024-09-26 21:50:16",NULL
3808628,"Images",0.239541,0.000161,0.024805,"2024-09-26 13:11:31",NULL
3812825,"Images",0.259227,0.000891,0.054629,"2024-09-26 14:29:43",NULL
3830050,"Images",0.297819,0.000884,0.040240,"2024-09-26 19:49:04",NULL
3816605,"Images",0.275422,0.000911,0.025288,"2024-09-26 15:40:15",NULL
3828580,"Images",0.358438,0.000878,0.041752,"2024-09-26 19:21:53",NULL
3834941,"Images",0.337011,0.000895,0.046611,"2024-09-26 21:20:01",NULL
3820087,"Images",0.240250,0.000877,0.037698,"2024-09-26 16:44:47",NULL
3807532,"Images",0.263216,0.000933,0.035278,"2024-09-26 12:51:18",NULL
3809895,"Images",0.337509,0.000881,0.070189,"2024-09-26 13:35:02",NULL
3830376,"Images",0.266541,0.000887,0.023419,"2024-09-26 19:55:06",NULL
3814952,"Images",0.240019,0.000881,0.044501,"2024-09-26 15:09:22",NULL
3832133,"Images",0.307010,0.000880,0.034057,"2024-09-26 20:27:47",NULL
3822746,"Images",0.296669,0.000888,0.039852,"2024-09-26 17:33:51",NULL
3837490,"Images",0.228116,0.000899,0.033457,"2024-09-26 22:07:21",NULL
3826423,"Images",0.260199,0.000981,0.080722,"2024-09-26 18:42:01",NULL
3832654,"Images",0.276581,0.000896,0.040830,"2024-09-26 20:37:29",NULL
3825416,"Images",0.278436,0.000878,0.048133,"2024-09-26 18:23:25",NULL
3820474,"Images",0.239747,0.000883,0.041248,"2024-09-26 16:51:54",NULL
3814843,"Images",0.416829,0.000883,0.053112,"2024-09-26 15:07:20",NULL
3817156,"Images",0.320126,0.000898,0.042615,"2024-09-26 15:50:27",NULL
3836637,"Images",0.278014,0.000900,0.039499,"2024-09-26 21:51:32",NULL
3825305,"Images",0.259487,0.000901,0.038930,"2024-09-26 18:21:21",NULL
3812324,"Images",0.286573,0.000878,0.037536,"2024-09-26 14:20:23",NULL
3828813,"Images",0.257505,0.000165,0.034566,"2024-09-26 19:26:12",NULL
3813391,"Images",0.257903,0.000168,0.025056,"2024-09-26 14:40:11",NULL
3817020,"Images",0.278991,0.000879,0.043716,"2024-09-26 15:47:57",NULL
