"idobservation","nomedevice","tempo1","tempo2","tempo3","tempo4","tempo5","timestamp_column"
853786,"images",0.983815,1.916820,0.000032,0.245637,4.200859,"2024-09-25 19:05:50"
873367,"images",0.951777,1.429160,0.000031,0.246273,2.774715,"2024-09-25 23:41:48"
857787,"images",0.998629,1.334190,0.000031,0.242415,4.278322,"2024-09-25 20:02:29"
886862,"images",0.957398,1.510791,0.000033,0.648602,4.204067,"2024-09-26 02:54:06"
876418,"images",3.407329,0.963409,0.000036,0.246914,2.534356,"2024-09-26 00:27:09"
853904,"images",0.995626,1.217170,0.000031,0.251565,4.253631,"2024-09-25 19:07:52"
882184,"images",1.001459,1.230685,0.000030,0.245750,3.222061,"2024-09-26 01:47:06"
886218,"images",0.748517,1.427970,0.000027,0.248812,2.271215,"2024-09-26 02:44:38"
887652,"images",0.790264,0.868617,0.000028,0.250308,2.110589,"2024-09-26 03:05:27"
882259,"images",0.982014,1.223704,0.000034,0.255002,2.794247,"2024-09-26 01:48:06"
854728,"images",0.974602,1.595973,0.000030,0.250079,4.290094,"2024-09-25 19:20:31"
879675,"images",0.964346,1.259651,0.000033,0.263791,4.335342,"2024-09-26 01:12:42"
869781,"images",0.952618,1.334261,0.000032,0.251090,2.698957,"2024-09-25 22:51:41"
873105,"images",0.981966,1.290453,0.000031,0.246438,4.244668,"2024-09-25 23:37:59"
859494,"images",1.030925,1.483736,0.000031,0.261648,4.452965,"2024-09-25 20:27:54"
855917,"images",0.984420,1.225160,0.000033,0.250742,4.320188,"2024-09-25 19:37:54"
862219,"images",0.980077,1.408988,0.000039,0.247827,4.155592,"2024-09-25 21:05:12"
855360,"images",0.948918,0.886403,0.000031,0.244073,3.896062,"2024-09-25 19:29:41"
860266,"images",0.937153,1.202206,0.000031,0.247712,2.837377,"2024-09-25 20:38:51"
864640,"images",0.990875,1.338873,0.000030,0.247193,4.246375,"2024-09-25 21:42:02"
867248,"images",0.946509,1.504554,0.000033,0.240747,2.520753,"2024-09-25 22:18:30"
864344,"images",1.575518,1.885843,0.000033,0.254666,3.439586,"2024-09-25 21:37:30"
884153,"images",0.997173,1.439332,0.000031,0.242689,3.660114,"2024-09-26 02:16:48"
890214,"images",0.752969,1.205843,0.000053,0.244929,3.852348,"2024-09-26 03:39:58"
859853,"images",0.959994,1.322642,0.000030,0.247587,4.408899,"2024-09-25 20:32:40"
891341,"images",0.765766,1.985502,0.000027,0.246584,1.785415,"2024-09-26 03:57:51"
851720,"images",0.955820,0.910599,0.000032,0.247408,3.046650,"2024-09-25 18:38:30"
879880,"images",0.959531,2.017322,0.000033,0.248273,2.955146,"2024-09-26 01:16:21"
